species	tool	completeness	consistency	unknown	sp_short	tool_lab
Drosera_binata	braker_filtered	89.89	95.76	3.86	D. binata	BRAKER
(filtered)
Drosera_binata	annevo	91.88	88.08	11.14	D. binata	ANNEVO
Drosera_binata	tiberius	92.03	78.77	20.74	D. binata	Tiberius
Drosera_binata	helixer	92.22	78.62	20.91	D. binata	Helixer
Drosera_paradoxa	braker_filtered	91.02	85.34	14.06	D. paradoxa	BRAKER
(filtered)
Drosera_paradoxa	annevo	92.23	75.36	23.97	D. paradoxa	ANNEVO
Drosera_paradoxa	tiberius	92.39	60.26	39.11	D. paradoxa	Tiberius
Drosera_paradoxa	helixer	92.31	63.73	35.62	D. paradoxa	Helixer
