class	kingdom
Aconoidasida	Other-Eukaryote
Actinomycetes	Bacteria
Actinomycetota	Bacteria
Actinopteri	Metazoa
Agaricomycetes	Fungi
Alphaproteobacteria	Bacteria
Amphibia	Metazoa
Anaerolineae	Bacteria
Anthozoa	Metazoa
Arachnida	Metazoa
Ascidiacea	Metazoa
Ascomycota	Fungi
Asteroidea	Metazoa
Aves	Metazoa
Bacilli	Bacteria
Bacteroidia	Bacteria
Betaproteobacteria	Bacteria
Bivalvia	Metazoa
Branchiopoda	Metazoa
Bryopsida	Viridiplantae
Bunyaviricetes	Virus
Candelariomycetes	Fungi
Caudoviricetes	Virus
Cephalopoda	Metazoa
Chilopoda	Metazoa
Chitinophagia	Bacteria
Chlorophyceae	Viridiplantae
Chondrichthyes	Metazoa
Chordata	Metazoa
Chromadorea	Metazoa
Chytridiomycetes	Fungi
Clostridia	Bacteria
Collembola	Metazoa
Coniocybomycetes	Fungi
Cyanophyceae	Bacteria
Cystobasidiomycetes	Fungi
Cytophagia	Bacteria
Dacrymycetes	Fungi
Desulfobacteria	Bacteria
Dinophyceae	Other-Eukaryote
Discosea	Other-Eukaryote
Dothideomycetes	Fungi
Echinoidea	Metazoa
Endogonomycetes	Fungi
Enoplea	Metazoa
Enteropneusta	Metazoa
Eumycetozoa	Other-Eukaryote
Eurotatoria	Metazoa
Eurotiomycetes	Fungi
Exobasidiomycetes	Fungi
Gammaproteobacteria	Bacteria
Gastropoda	Metazoa
Geoglossomycetes	Fungi
Glomeromycetes	Fungi
Gordioida	Metazoa
Heterotrichea	Other-Eukaryote
Hexactinellida	Metazoa
Holothuroidea	Metazoa
Howeltoviricetes	Virus
Hydrozoa	Metazoa
Insecta	Metazoa
Kinetoplastea	Other-Eukaryote
Lecanoromycetes	Fungi
Leotiomycetes	Fungi
Lepidosauria	Metazoa
Leptocardii	Metazoa
Lipomycetes	Fungi
Malacostraca	Metazoa
Mammalia	Metazoa
Merostomata	Metazoa
Microbotryomycetes	Fungi
Microsporidia	Fungi
Mortierellomycetes	Fungi
Myxini	Metazoa
Myxococcia	Bacteria
Neocallimastigomycetes	Fungi
Pedosphaerae	Bacteria
Peronosporomycetes	Other-Eukaryote
Pinopsida	Viridiplantae
Planctomycetota	Bacteria
Polychaeta	Metazoa
Pucciniomycetes	Fungi
Pycnogonida	Metazoa
Saprolegniomycetes	Other-Eukaryote
Sordariomycetes	Fungi
Terriglobia	Bacteria
Thermoleophilia	Bacteria
Thermotogae	Bacteria
Trebouxiophyceae	Viridiplantae
Trematoda	Metazoa
Tremellomycetes	Fungi
Umbelopsidomycetes	Fungi
Ustilaginomycetes	Fungi
Verrucomicrobiia	Bacteria
Verrucomicrobiota	Bacteria
Wallemiomycetes	Fungi
Zygnematophyceae	Viridiplantae
