species	sp_short	kingdom	mb
Drosera_aliciae	D. aliciae	Fungi	54.800861
Drosera_aliciae	D. aliciae	Viridiplantae	0.136172
Drosera_aliciae	D. aliciae	Bacteria	8.609016
Drosera_binata	D. binata	Fungi	1.10214
Drosera_binata	D. binata	Metazoa	49.829672
Drosera_binata	D. binata	Viridiplantae	0.6448160000000001
Drosera_binata	D. binata	Bacteria	0.48764399999999997
Drosera_binata	D. binata	Other-Eukaryote	0.090734
Drosera_binata	D. binata	Virus	0.012905
Drosera_filiformis	D. filiformis	Fungi	0.410219
Drosera_filiformis	D. filiformis	Metazoa	0.905303
Drosera_filiformis	D. filiformis	Bacteria	0.07314899999999999
Drosera_filiformis	D. filiformis	Other-Eukaryote	0.046795
Drosera_filiformis	D. filiformis	Virus	0.054626
Drosera_paradoxa	D. paradoxa	Fungi	192.75054
Drosera_paradoxa	D. paradoxa	Metazoa	126.827921
Drosera_paradoxa	D. paradoxa	Viridiplantae	0.779785
Drosera_paradoxa	D. paradoxa	Bacteria	3.910799
Drosera_paradoxa	D. paradoxa	Other-Eukaryote	3.667787
Drosera_paradoxa	D. paradoxa	Virus	0.246707
Drosera_roseana	D. roseana	Fungi	271.96997400000004
Drosera_roseana	D. roseana	Metazoa	126.905795
Drosera_roseana	D. roseana	Viridiplantae	41.779697
Drosera_roseana	D. roseana	Bacteria	11.872017
Drosera_roseana	D. roseana	Other-Eukaryote	0.037303
Drosera_roseana	D. roseana	Virus	0.08668
Drosera_scorpioides	D. scorpioides	Fungi	485.586525
Drosera_scorpioides	D. scorpioides	Metazoa	163.60444
Drosera_scorpioides	D. scorpioides	Viridiplantae	0.062868
Drosera_scorpioides	D. scorpioides	Bacteria	5.202641
Drosera_scorpioides	D. scorpioides	Other-Eukaryote	0.12262999999999999
Drosera_tokaiensis	D. tokaiensis	Fungi	76.608731
Drosera_tokaiensis	D. tokaiensis	Metazoa	45.861805000000004
Drosera_tokaiensis	D. tokaiensis	Bacteria	10.852745
Drosera_tokaiensis	D. tokaiensis	Other-Eukaryote	0.049221
