class	kingdom	species_count	total_mb
Dothideomycetes	Fungi	6	346.06586599999997
Arachnida	Metazoa	5	333.984201
Sordariomycetes	Fungi	7	249.21356500000002
Exobasidiomycetes	Fungi	6	202.24308200000002
Eurotiomycetes	Fungi	7	162.740396
Insecta	Metazoa	6	93.38194
Leotiomycetes	Fungi	6	43.178249
Trebouxiophyceae	Viridiplantae	4	41.660651
Ustilaginomycetes	Fungi	7	36.629402
Chromadorea	Metazoa	5	27.656666
Enoplea	Metazoa	3	23.682139
Tremellomycetes	Fungi	3	19.922606
Alphaproteobacteria	Bacteria	6	16.334321
Gammaproteobacteria	Bacteria	7	10.973109000000001
Lecanoromycetes	Fungi	2	10.552356000000001
