old_name,new_name
scaffold_1,chr1_hap1
scaffold_2,chr1_hap2
scaffold_3,chr2_hap1
scaffold_4,chr2_hap2
scaffold_5,chr3_hap1
scaffold_6,chr3_hap2
scaffold_7,chr4_hap1
scaffold_8,chr4_hap2
scaffold_9,chr5_hap1
scaffold_10,chr5_hap2
scaffold_11,chr6_hap1
scaffold_12,chr6_hap2
scaffold_13,chr7_hap1
scaffold_14,chr7_hap2
scaffold_15,chr8_hap1
scaffold_16,chr8_hap2
scaffold_17,chr9_hap1
scaffold_18,chr9_hap2
scaffold_19,chr10_hap1
scaffold_20,chr10_hap2
scaffold_21,chr11_hap1
scaffold_22,chr11_hap2
scaffold_23,chr12_hap1
scaffold_24,chr12_hap2
scaffold_25,chr13_hap1
scaffold_26,chr13_hap2
scaffold_27,chr14_hap1
scaffold_28,chr14_hap2
scaffold_29,chr15_hap1
scaffold_30,chr15_hap2
scaffold_31,chr16_hap1
scaffold_32,chr16_hap2
