old_name,new_name
scaffold1,chr1_nondom
scaffold2,chr2_dom
scaffold3,chr3_dom
scaffold4,chr4_dom
scaffold5,chr5_dom
scaffold6,chr6_dom
scaffold7,chr7_dom
scaffold8,chr8_nondom
scaffold9,chr9_dom
scaffold10,chr10_dom
scaffold11,chr11_nondom
scaffold12,chr12_nondom
scaffold13,chr13_nondom
scaffold14,chr14_nondom
scaffold15,chr15_nondom
scaffold16,chr16_nondom
scaffold17,chr17_nondom
scaffold18,chr18_nondom
scaffold19,chr19_nondom
scaffold20,chr20_nondom
scaffold21,chr21_nondom
scaffold22,chr22_nondom
scaffold23,chr23_nondom
scaffold24,chr24_nondom
scaffold25,chr25_nondom
scaffold26,chr26_nondom
scaffold27,chr27_nondom
scaffold28,chr28_nondom
scaffold29,chr29_nondom
scaffold30,chr30_nondom
scaffold31,chr31_nondom
scaffold32,chr32_nondom
scaffold33,chr33_nondom
scaffold34,chr34_nondom
scaffold35,chr35_nondom
scaffold36,chr36_nondom
scaffold37,chr37_nondom
scaffold38,chr38_nondom
scaffold39,chr39_nondom
scaffold40,chr40_nondom
